Var1,index
RSM1-RSM2,1
RSM2-RSM3,2
RSM3-RSM4,3
RSM4-RSM5,4
RSM5-RSM6,5
RSM6-RSM7,6
RSM7-RSM8,7
RAC1-RAC2,8
RAC2-RAC3,9
RAC3-RAC4,10
RAC4-RAC5,11
RAC5-RAC6,12
RAC6-RAC7,13
RAC7-RAC8,14
RAC8-RAC9,15
ROF1-ROF2,16
ROF2-ROF3,17
ROF3-ROF4,18
ROF4-ROF5,19
ROF5-ROF6,20
ROF6-ROF7,21
ROF7-ROF8,22
ROF8-ROF9,23
ROF9-ROF10,24
RIN1-RIN2,25
RIN2-RIN3,26
RIN3-RIN4,27
RIN4-RIN5,28
RIN5-RIN6,29
RIN6-RIN7,30
RIN7-RIN8,31
RIN8-RIN9,32
RIN9-RIN10,33
RTI1-RTI2,34
RTI2-RTI3,35
RTI3-RTI4,36
RTI4-RTI5,37
RTI5-RTI6,38
RTI6-RTI7,39
RTI7-RTI8,40
RTI8-RTI9,41
RTI9-RTI10,42
RAM3-RAM4,43
RAM4-RAM5,44
RAM5-RAM6,45
RAM6-RAM7,46
RAM7-RAM8,47
RAM8-RAM9,48
RHH7-RHH8,49
RHH8-RHH9,50
RHH9-RHH10,51
RTH4-RTH5,52
RTH5-RTH6,53
RTH6-RTH7,54
RTH7-RTH8,55
LSMA1-LSMA2,56
LSMA2-LSMA3,57
LSMA3-LSMA4,58
LSMA4-LSMA5,59
LSMA5-LSMA6,60
LSMA6-LSMA7,61
LSMA7-LSMA8,62
LSMA8-LSMA9,63
LSMA9-LSMA10,64
LAC1-LAC2,65
LAC2-LAC3,66
LAC3-LAC4,67
LAC4-LAC5,68
LAC5-LAC6,69
LAC6-LAC7,70
LAC7-LAC8,71
LAC8-LAC9,72
LAC9-LAC10,73
LOF2-LOF3,74
LOF3-LOF4,75
LOF4-LOF5,76
LOF5-LOF6,77
LOF6-LOF7,78
LOF7-LOF8,79
LOF8-LOF9,80
LIN1-LIN2,81
LIN2-LIN3,82
LIN3-LIN4,83
LIN4-LIN5,84
LIN5-LIN6,85
LIN6-LIN7,86
LIN7-LIN8,87
LIN8-LIN9,88
LIN9-LIN10,89
LTI1-LTI2,90
LTI2-LTI3,91
LTI3-LTI4,92
LTI4-LTI5,93
LTI5-LTI6,94
LTI6-LTI7,95
LTI7-LTI8,96
LTI8-LTI9,97
LTI9-LTI10,98
LAM4-LAM5,99
LAM5-LAM6,100
LAM8-LAM9,101
LHH4-LHH5,102
LHH5-LHH6,103
LHH6-LHH7,104
LHH7-LHH8,105
LHH8-LHH9,106
LHH9-LHH10,107
LTH4-LTH5,108
LTH5-LTH6,109
LTH6-LTH7,110
LTH7-LTH8,111
LTH8-LTH9,112
LTH9-LTH10,113
