"","X","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p","predictor","anova_p","diff_adj_r2","perct_adj_r2"
"1",4,"LIN9-LIN10","bin_6",0.0210539434925811,0.00533623194006443,4.86052443614626,0.0284864080560395,23.13807334718,7e-04,"ineq_advent",0.107876706669969,0.00697448299931491,2.33190944355356
"2",7,"LIN9-LIN10","bin_9",0.0318035779024735,0.0069998256410255,7.42370911719296,0.00694055695861317,23.13807334718,7e-04,"ineq_advent",0.340393440467965,-0.000392908776592704,-0.0133372149760788
"3",8,"LIN9-LIN10","bin_10",0.0434547649770898,0.00887558916012236,10.2669236385743,0.0015498065976296,23.13807334718,7e-04,"ineq_advent",0.196146988517796,0.00288595163138039,0.0989873946607143
"4",9,"LIN9-LIN10","bin_11",0.0302731808710427,0.0080504937291733,7.05532603811157,0.00846610799888109,23.13807334718,7e-04,"ineq_advent",0.113037602921953,0.00659950021139444,0.609243924358454
"5",12,"LIN9-LIN10","bin_14",0.0213623463495983,0.00554823891527786,4.93327663921449,0.0273363910812862,23.13807334718,7e-04,"ineq_advent",0.0798121575587571,0.00910142274941639,9.07703654720459
"6",16,"LIN9-LIN10","bin_18",0.0229615098293794,0.00597294310346845,5.31125567072954,0.0220957810660645,23.13807334718,7e-04,"ineq_advent",0.367003264303389,-0.0008178207126186,-0.0646233331041313
"7",17,"LIN9-LIN10","bin_19",0.0213079898030819,0.00546866161868996,4.92045060685393,0.0275355477188923,23.13807334718,7e-04,"ineq_advent",0.358860324518171,-0.000696615694919633,-0.0737282420266734
"8",18,"LIN9-LIN10","bin_20",0.0192834183524186,0.00538482609747805,4.44374310499082,0.0361310142065593,23.13807334718,7e-04,"ineq_advent",0.225987487827275,0.00205738925074495,0.46354401261438
"9",19,"LIN9-LIN10","bin_21",0.0170191402446146,0.00529992609068195,3.91292023350287,0.0491310059789188,23.13807334718,7e-04,"ineq_advent",0.431534619718999,-0.00168661091328992,-0.260798914853615
"10",22,"LIN9-LIN10","bin_24",0.0198939544829306,0.00564350883150807,4.587293113543,0.0332795788166289,23.13807334718,7e-04,"ineq_advent",0.181557482719311,0.00346351627720376,0.964109061775068
"11",23,"LIN9-LIN10","bin_25",0.023698543715134,0.00662560643854444,5.48587820405498,0.0200400736460849,23.13807334718,7e-04,"ineq_advent",0.0562607457642228,0.0115968097688239,7.01258399937408
"12",42,"LIN9-LIN10","bin_44",0.0233285780008484,0.00702790119582563,5.39819074197947,0.0210461944413558,23.13807334718,7e-04,"ineq_advent",0.526864084812604,-0.00262953042475367,-0.166023863107546
"13",43,"LIN9-LIN10","bin_45",0.0269338841573049,0.00764874934042638,6.2555439146901,0.0130898296735778,23.13807334718,7e-04,"ineq_advent",0.644339538550735,-0.00342596099529924,-0.143830960243216
"14",44,"LIN9-LIN10","bin_46",0.0195354750787744,0.00616054970575118,4.50298532540759,0.0349242498564129,23.13807334718,7e-04,"ineq_advent",0.766596903742372,-0.00398255220681965,-0.186719299934077
"15",45,"LIN9-LIN10","bin_47",0.0203883683412056,0.00590029977462061,4.7036714307996,0.0311419296779379,23.13807334718,7e-04,"ineq_advent",0.511450759529039,-0.00250367769593107,-0.203505757105443
"16",52,"LIN9-LIN10","bin_54",0.0229822545177323,0.00736257044580742,5.31616702462623,0.0220350538123927,23.13807334718,7e-04,"ineq_advent",0.138280273948948,0.00525540699706528,0.763849189288107
"17",53,"LIN9-LIN10","bin_55",0.0203613738522531,0.00695202953083939,4.69731426240761,0.0312548891130141,23.13807334718,7e-04,"ineq_advent",0.215650930381529,0.00234850956929666,0.366880092651033
"18",1,"RIN1-RIN2","bin_3",0.0222785328783414,0.0032650080567474,5.14967564875882,0.0241943028926996,17.6134904116676,0.0092,"ineq_advent",0.109969299923276,0.00664612192989611,0.211071328431038
"19",15,"RIN1-RIN2","bin_17",0.0172313798534306,0.00374001196370107,3.96257243774686,0.0477272061598977,17.6134904116676,0.0092,"ineq_advent",0.157282476608647,0.00442347727104853,9.73100604824626
"20",31,"RIN1-RIN2","bin_33",0.0183417282207658,0.00379830945446983,4.22268186094937,0.0410370136329159,17.6134904116676,0.0092,"ineq_advent",0.031282227413294,0.0159742282550998,-3.89997196787349
"21",37,"RIN1-RIN2","bin_39",0.0278202179739771,0.00447358490997158,6.46729069906797,0.0116562096006997,17.6134904116676,0.0092,"ineq_advent",0.0682298955427479,0.0101254078322243,1.00868272933416
"22",38,"RIN1-RIN2","bin_40",0.0458686530969568,0.0059487932914908,10.8646630608664,0.00113809845104583,17.6134904116676,0.0092,"ineq_advent",0.00639635508103728,0.0274971447939446,2.48163480738444
